Income_Poverty_Ratio,count
5.397605346934028e-79,12
0.02,6
0.03,2
0.04,1
0.05,2
0.07,2
0.08,1
0.09,1
0.1,2
0.12,1
0.15,1
0.16,3
0.17,3
0.18,1
0.2,1
0.22,1
0.23,3
0.24,2
0.25,1
0.26,1
0.27,5
0.29,2
0.3,2
0.33,1
0.34,2
0.35,1
0.38,4
0.4,2
0.41,5
0.42,1
0.43,2
0.44,2
0.45,1
0.46,2
0.48,1
0.49,2
0.51,2
0.52,1
0.54,1
0.55,4
0.56,3
0.57,1
0.58,7
0.61,1
0.62,5
0.63,2
0.65,2
0.66,4
0.67,1
0.68,1
0.69,2
0.7,8
0.71,1
0.72,3
0.73,2
0.74,5
0.75,6
0.76,2
0.77,2
0.78,2
0.79,5
0.8,5
0.81,3
0.82,12
0.83,1
0.84,1
0.85,6
0.86,1
0.87,7
0.88,6
0.89,4
0.9,2
0.91,6
0.92,4
0.93,1
0.94,3
0.96,7
0.97,2
0.98,5
0.99,4
1.0,1
1.01,6
1.02,4
1.03,4
1.04,2
1.05,6
1.06,4
1.07,2
1.08,3
1.09,10
1.1,4
1.12,3
1.13,6
1.14,5
1.15,4
1.16,3
1.17,4
1.18,2
1.19,1
1.2,1
1.22,3
1.23,8
1.24,1
1.25,3
1.26,3
1.27,2
1.29,1
1.3,7
1.31,2
1.32,6
1.33,2
1.34,1
1.35,1
1.36,3
1.37,3
1.39,2
1.4,5
1.41,2
1.42,2
1.43,1
1.44,5
1.46,2
1.47,5
1.48,1
1.49,3
1.5,1
1.51,2
1.52,2
1.53,1
1.55,3
1.56,1
1.57,1
1.58,3
1.6,4
1.61,1
1.62,6
1.64,7
1.65,1
1.67,7
1.68,1
1.69,5
1.7,3
1.71,13
1.72,5
1.74,1
1.75,3
1.78,1
1.8,5
1.81,3
1.84,3
1.85,6
1.86,3
1.89,1
1.9,1
1.91,8
1.92,2
1.93,2
1.94,3
1.95,2
1.97,4
1.98,6
1.99,3
2.0,3
2.02,2
2.03,2
2.04,2
2.05,3
2.06,3
2.07,1
2.08,2
2.09,1
2.1,1
2.11,2
2.12,1
2.13,6
2.16,4
2.17,8
2.18,12
2.19,3
2.21,8
2.24,1
2.25,1
2.28,4
2.29,2
2.3,4
2.31,1
2.32,1
2.33,6
2.35,2
2.36,2
2.38,1
2.39,4
2.4,2
2.41,2
2.43,2
2.46,3
2.47,1
2.48,4
2.49,2
2.5,3
2.51,1
2.54,2
2.56,5
2.57,1
2.58,7
2.61,13
2.62,2
2.65,1
2.68,2
2.7,3
2.71,3
2.73,4
2.74,7
2.75,1
2.76,2
2.77,2
2.78,3
2.79,1
2.81,1
2.82,2
2.83,2
2.84,2
2.85,1
2.87,2
2.88,5
2.89,1
2.92,1
2.94,5
2.95,1
2.96,1
3.0,8
3.02,4
3.03,2
3.04,9
3.06,2
3.07,1
3.08,2
3.09,3
3.11,1
3.12,1
3.13,5
3.15,1
3.16,1
3.17,1
3.19,4
3.22,1
3.24,1
3.25,1
3.26,2
3.28,6
3.29,2
3.3,6
3.31,2
3.32,1
3.33,2
3.35,1
3.38,1
3.4,1
3.41,1
3.42,7
3.43,3
3.44,1
3.46,1
3.47,4
3.53,1
3.54,2
3.55,7
3.56,2
3.58,2
3.6,7
3.62,1
3.65,1
3.68,3
3.69,9
3.7,2
3.72,2
3.73,1
3.76,4
3.77,1
3.8,4
3.82,3
3.84,1
3.85,1
3.86,1
3.91,1
3.92,1
3.93,1
3.96,2
3.97,3
4.0,6
4.02,3
4.05,4
4.06,2
4.1,5
4.12,3
4.14,2
4.15,2
4.17,2
4.19,2
4.21,1
4.22,2
4.23,1
4.27,5
4.29,2
4.31,4
4.32,1
4.33,3
4.34,4
4.36,1
4.37,3
4.38,1
4.4,1
4.41,2
4.42,5
4.43,2
4.44,2
4.46,3
4.48,1
4.53,1
4.54,1
4.56,5
4.59,4
4.6,1
4.61,1
4.63,2
4.64,5
4.66,2
4.67,2
4.68,3
4.72,1
4.75,1
4.78,4
4.8,1
4.83,2
4.86,2
4.88,4
4.89,1
4.92,7
4.94,1
5.0,341
